"","algorithm","iomode","image","nthreads","imsize","task_clock","context_switches","cpu_migrations","page_faults","time_elapsed"
"1","seq","withIO","full",1,16,0.494857,0,0,52,0.000832374
"2","seq","withIO","full",1,16,0.408125,0,0,51,0.000630502
"3","seq","withIO","full",1,16,0.392842,0,0,50,0.000599694
"4","seq","withIO","full",1,16,0.382646,0,0,50,0.000600768
"5","seq","withIO","full",1,16,0.395355,0,0,52,0.000607174
"6","seq","withIO","full",1,16,0.396715,0,0,52,0.00062564
"7","seq","withIO","full",1,16,0.39444,0,0,49,0.000605533
"8","seq","withIO","full",1,16,0.393742,0,0,50,0.000606755
"9","seq","withIO","full",1,16,0.402732,0,0,51,0.00062077
"10","seq","withIO","full",1,16,0.384107,0,0,50,0.000619887
"11","seq","withIO","full",1,32,0.605362,0,0,58,0.000807529
"12","seq","withIO","full",1,32,0.648393,0,0,59,0.000902248
"13","seq","withIO","full",1,32,0.627603,0,0,59,0.000841938
"14","seq","withIO","full",1,32,0.630611,0,0,59,0.000868026
"15","seq","withIO","full",1,32,0.6148,0,0,60,0.000841956
"16","seq","withIO","full",1,32,0.601623,0,0,60,0.000831675
"17","seq","withIO","full",1,32,0.644085,0,0,60,0.000850079
"18","seq","withIO","full",1,32,0.678084,0,0,58,0.000926675
"19","seq","withIO","full",1,32,0.621999,0,0,58,0.000881541
"20","seq","withIO","full",1,32,0.592632,0,0,58,0.000794033
"21","seq","withIO","full",1,64,1.556597,0,0,90,0.001799207
"22","seq","withIO","full",1,64,1.534124,0,0,88,0.00173326
"23","seq","withIO","full",1,64,1.507579,0,0,89,0.001750607
"24","seq","withIO","full",1,64,1.423721,0,0,89,0.001626769
"25","seq","withIO","full",1,64,1.417406,0,0,90,0.001614985
"26","seq","withIO","full",1,64,1.493179,0,0,89,0.001734002
"27","seq","withIO","full",1,64,1.421518,0,0,89,0.001624809
"28","seq","withIO","full",1,64,1.474811,0,0,89,0.001689529
"29","seq","withIO","full",1,64,1.438532,0,0,88,0.001648582
"30","seq","withIO","full",1,64,1.454779,0,0,89,0.001685857
"31","seq","withIO","full",1,128,5.114148,0,0,209,0.005338738
"32","seq","withIO","full",1,128,4.895341,0,0,211,0.005154032
"33","seq","withIO","full",1,128,4.844088,0,0,210,0.005055404
"34","seq","withIO","full",1,128,4.975052,0,0,210,0.005186536
"35","seq","withIO","full",1,128,5.079279,0,0,211,0.005304147
"36","seq","withIO","full",1,128,4.81849,0,0,209,0.005064658
"37","seq","withIO","full",1,128,5.074102,0,0,208,0.005286469
"38","seq","withIO","full",1,128,4.702042,0,0,211,0.004924167
"39","seq","withIO","full",1,128,5.008994,0,0,208,0.005246747
"40","seq","withIO","full",1,128,4.84002,0,0,210,0.005117505
"41","seq","withIO","full",1,256,19.031736,1,0,689,0.034875374
"42","seq","withIO","full",1,256,18.503475,0,0,690,0.018727365
"43","seq","withIO","full",1,256,19.456498,0,0,690,0.019712293
"44","seq","withIO","full",1,256,18.982457,0,0,690,0.019251462
"45","seq","withIO","full",1,256,18.769662,0,0,690,0.018985988
"46","seq","withIO","full",1,256,19.00811,0,0,688,0.019272875
"47","seq","withIO","full",1,256,19.680739,0,0,690,0.019924822
"48","seq","withIO","full",1,256,19.863245,1,0,690,0.020094096
"49","seq","withIO","full",1,256,19.909132,0,0,690,0.02020297
"50","seq","withIO","full",1,256,19.588511,0,0,688,0.019861829
"51","seq","withIO","full",1,512,72.883907,0,0,2609,0.073249035
"52","seq","withIO","full",1,512,79.795341,0,0,2611,0.080033988
"53","seq","withIO","full",1,512,78.123493,0,0,2610,0.078405811
"54","seq","withIO","full",1,512,83.146627,0,0,2610,0.083427853
"55","seq","withIO","full",1,512,76.317796,0,0,2611,0.076613914
"56","seq","withIO","full",1,512,81.587666,0,0,2609,0.081931544
"57","seq","withIO","full",1,512,76.650799,0,0,2611,0.076952469
"58","seq","withIO","full",1,512,83.082768,0,0,2609,0.083468614
"59","seq","withIO","full",1,512,76.607962,0,0,2611,0.076928267
"60","seq","withIO","full",1,512,76.179761,0,0,2609,0.076537485
"61","seq","withIO","full",1,1024,313.340586,0,0,10291,0.313664172
"62","seq","withIO","full",1,1024,304.029082,1,0,10289,0.304406849
"63","seq","withIO","full",1,1024,304.043656,1,0,10289,0.304378658
"64","seq","withIO","full",1,1024,321.541368,0,0,10291,0.321870479
"65","seq","withIO","full",1,1024,303.316164,0,0,10291,0.303648954
"66","seq","withIO","full",1,1024,293.149726,2,0,10290,0.293504483
"67","seq","withIO","full",1,1024,307.678188,0,0,10290,0.307989476
"68","seq","withIO","full",1,1024,310.226043,0,0,10287,0.310546288
"69","seq","withIO","full",1,1024,304.973273,1,1,10290,0.305306344
"70","seq","withIO","full",1,1024,304.818985,1,0,10290,0.305233347
"71","seq","withIO","full",1,2048,1225.279304,2,1,41007,1.225648191
"72","seq","withIO","full",1,2048,1264.395777,3,0,41009,1.264844364
"73","seq","withIO","full",1,2048,1239.465122,1,0,41011,1.239844939
"74","seq","withIO","full",1,2048,1221.065521,3,0,41009,1.221399914
"75","seq","withIO","full",1,2048,1216.937701,3,0,41011,1.217283405
"76","seq","withIO","full",1,2048,1220.351412,1,0,41010,1.220646779
"77","seq","withIO","full",1,2048,1232.767368,3,0,41011,1.233111351
"78","seq","withIO","full",1,2048,1238.806667,3,0,41011,1.239142066
"79","seq","withIO","full",1,2048,1211.364903,0,0,41010,1.21167195
"80","seq","withIO","full",1,2048,1251.400675,3,0,41009,1.251721163
"81","seq","withIO","full",1,4096,4914.174688,14,1,163890,5.200225669
"82","seq","withIO","full",1,4096,4798.716074,11,0,163890,4.928755519
"83","seq","withIO","full",1,4096,4886.548282,12,0,163889,4.91279987
"84","seq","withIO","full",1,4096,4803.568887,10,0,163889,4.834991395
"85","seq","withIO","full",1,4096,4984.188643,11,0,163890,5.015449592
"86","seq","withIO","full",1,4096,4873.275406,12,0,163891,4.896511497
"87","seq","withIO","full",1,4096,4935.108033,14,0,163890,4.9674714
"88","seq","withIO","full",1,4096,4945.763277,12,0,163891,4.971759165
"89","seq","withIO","full",1,4096,4898.538691,16,0,163891,4.920763802
"90","seq","withIO","full",1,4096,4904.843457,12,0,163889,4.929834385
"91","seq","withIO","full",1,8192,19854.588624,54,0,655409,21.05332487
"92","seq","withIO","full",1,8192,19468.830348,58,0,655411,20.615645884
"93","seq","withIO","full",1,8192,19324.883891,56,0,655410,20.471224656
"94","seq","withIO","full",1,8192,19604.857334,57,0,655409,20.747807064
"95","seq","withIO","full",1,8192,19548.915064,57,0,655409,20.753957617
"96","seq","withIO","full",1,8192,19409.507742,56,0,655410,20.609627975
"97","seq","withIO","full",1,8192,19013.24028,57,0,655409,20.168843632
"98","seq","withIO","full",1,8192,19098.145932,56,0,655410,20.295578886
"99","seq","withIO","full",1,8192,19480.799196,57,0,655410,20.667661527
"100","seq","withIO","full",1,8192,18692.642187,58,1,655409,19.835835465
"101","seq","withoutIO","full",1,16,0.339899,0,0,46,0.000670903
"102","seq","withoutIO","full",1,16,0.527645,0,0,46,0.000987014
"103","seq","withoutIO","full",1,16,0.34966,0,0,46,0.000633116
"104","seq","withoutIO","full",1,16,0.375,0,0,46,0.000694079
"105","seq","withoutIO","full",1,16,0.333297,0,0,45,0.00063097
"106","seq","withoutIO","full",1,16,0.427746,0,0,45,0.000782889
"107","seq","withoutIO","full",1,16,0.376645,0,0,46,0.000689874
"108","seq","withoutIO","full",1,16,0.355807,0,0,46,0.000734447
"109","seq","withoutIO","full",1,16,0.423467,0,0,45,0.000811916
"110","seq","withoutIO","full",1,16,0.438476,0,0,45,0.000789538
"111","seq","withoutIO","full",1,32,0.536851,0,0,45,0.000885529
"112","seq","withoutIO","full",1,32,0.456695,0,0,45,0.000708509
"113","seq","withoutIO","full",1,32,0.563701,0,0,46,0.000889678
"114","seq","withoutIO","full",1,32,0.577016,0,0,46,0.000904193
"115","seq","withoutIO","full",1,32,0.604531,0,0,45,0.000989
"116","seq","withoutIO","full",1,32,0.561806,0,0,46,0.00096483
"117","seq","withoutIO","full",1,32,0.634756,0,0,46,0.001085965
"118","seq","withoutIO","full",1,32,0.66491,0,0,45,0.001116797
"119","seq","withoutIO","full",1,32,0.632946,0,0,45,0.000989607
"120","seq","withoutIO","full",1,32,0.517282,0,0,46,0.000926155
"121","seq","withoutIO","full",1,64,1.35703,0,0,46,0.001732521
"122","seq","withoutIO","full",1,64,1.461844,0,0,47,0.001977495
"123","seq","withoutIO","full",1,64,1.344444,0,0,46,0.001790196
"124","seq","withoutIO","full",1,64,1.205086,0,0,46,0.001533683
"125","seq","withoutIO","full",1,64,1.335135,0,0,45,0.001742861
"126","seq","withoutIO","full",1,64,1.293701,0,0,45,0.001637717
